userId,name,email,password,userType,departmentId,idNumber,approved,decorationType
,,,hi!,GUEST,hi!,,NOT_APPROVED,
,,,hi!,GUEST,hi!,,NOT_APPROVED,
,,,hi!,GUEST,hi!,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
,GUEST,hi!,hi!,STUDENT,FACULTY,,NOT_APPROVED,
